pais,entidad,relacion,objeto
argentina,argentina,tiene_mito_y_leyenda,arroyo el rey
argentina,argentina,tiene_mito_y_leyenda,cadejo
argentina,argentina,tiene_mito_y_leyenda,cegua
argentina,argentina,tiene_mito_y_leyenda,chupacabras
argentina,argentina,tiene_mito_y_leyenda,curupira
argentina,argentina,tiene_mito_y_leyenda,difunta correa
argentina,argentina,tiene_mito_y_leyenda,diosa madre
argentina,argentina,tiene_mito_y_leyenda,duende
argentina,argentina,tiene_mito_y_leyenda,ekeko
argentina,argentina,tiene_mito_y_leyenda,el eropido
argentina,argentina,tiene_mito_y_leyenda,el familiar
argentina,argentina,tiene_mito_y_leyenda,el futre
argentina,argentina,tiene_mito_y_leyenda,gauchito gil
argentina,argentina,tiene_mito_y_leyenda,gualicho
argentina,argentina,tiene_mito_y_leyenda,indio bamba
argentina,argentina,tiene_mito_y_leyenda,la llorona
argentina,argentina,tiene_mito_y_leyenda,leyenda de la nativa mariana
argentina,argentina,tiene_mito_y_leyenda,luz mala
argentina,argentina,tiene_mito_y_leyenda,pombero
argentina,argentina,tiene_mito_y_leyenda,rafael mansilla
argentina,argentina,tiene_mito_y_leyenda,rufina cambaceres
argentina,argentina,tiene_mito_y_leyenda,sacerdote sin cabeza
argentina,argentina,tiene_mito_y_leyenda,sierra de la plata
argentina,argentina,tiene_mito_y_leyenda,telesita
argentina,argentina,tiene_mito_y_leyenda,tormenta de santa rosa
argentina,arroyo el rey,año_enfrentamiento,1872
argentina,arroyo el rey,comandante_tropas,general manuel obligado
argentina,arroyo el rey,condición_arroyo,caudal engrosado
argentina,arroyo el rey,condición_arroyo,sumamente crecido
argentina,arroyo el rey,es,arroyo
argentina,arroyo el rey,fronteras_situadas,límite natural del arroyo
argentina,arroyo el rey,función_fuerzas_sobrenaturales,provocar muerte de blancos
argentina,arroyo el rey,hechicero_indígena,maldijo las aguas
argentina,arroyo el rey,huida_hacia,selvas y montes allende arroyo
argentina,arroyo el rey,indígenas_opciones,enfrentarse o huir
argentina,arroyo el rey,maldición_convocó,nefastas fuerzas sobrenaturales
argentina,arroyo el rey,mito,la maldición del arroyo
argentina,arroyo el rey,muchos_indios,perecieron al cruzarlo
argentina,arroyo el rey,muertes_actuales,por inmersión en aguas
argentina,arroyo el rey,muertes_atribuidas,la maldición
argentina,arroyo el rey,obligado_consiguió,extender fronteras
argentina,arroyo el rey,peligros,profundidades y pozos
argentina,arroyo el rey,problema_adicional,cauce agotado
argentina,arroyo el rey,problema_adicional,contaminación del agua
argentina,arroyo el rey,problemas_explicados,bajo perspectiva de leyenda
argentina,arroyo el rey,refugio_buscado,chaco
argentina,arroyo el rey,resistencia_ofrecida,tribus montaraces
argentina,arroyo el rey,tribus_característica,aguerridas y tenaces
argentina,arroyo el rey,tribus_no_permitían,establecimiento de colonos
argentina,arroyo el rey,tribus_resistían,expansión de blancos
argentina,arroyo el rey,ubicación,provincia de santa fe argentina
argentina,arroyo el rey,usos_actuales,bañar caballos
argentina,arroyo el rey,usos_actuales,buscar alivio del calor
argentina,arroyo el rey,usos_actuales,pescar
argentina,arroyo el rey,voz_popular_relaciona,tragedias con hechizo
argentina,arroyo el rey,víctimas,bañistas
argentina,arroyo el rey,víctimas,pescadores
argentina,arroyo el rey,víctimas,trabajadores
